codigo_anonimo,escuela_profesional,semestre_actual,sgpa_previo,cgpa_actual,creditos_completados,asistencia_promedio_pct,estado_observado,desaprobo_alguna_asignatura,horas_estudio_diarias,horas_redes_diarias,horas_habilidades_diarias,edad,ingreso_familiar_mensual_soles,beca_subvencion_economica,anio_egreso_secundaria,planea_matricularse_prox_ciclo,probabilidad_matricula_pct,motivo_no_matricula,promedio_final_ciclo_actual
P0052,Ciencia de la Computación,3,19.11,19.83,23,90.0,No,No,3.0,1.0,2.0,24,841,No,2020,No,17,Problemas económicos,14.93
P0053,Ingeniería de Software,2,20.0,20.0,11,88.0,No,No,2.0,2.0,2.0,21,1155,No,2020,Sí,22,,12.23
P0054,Ingeniería de Software,10,7.0,13.8,143,16.05318414738774,No,Sí,1.0,4.0,4.0,25,3384,No,2018,Sí,38,,5.84
P0055,Ingeniería de Sistemas,9,10.54,15.74,131,70.0,No,Sí,3.0,7.0,1.0,20,3106,No,2020,Sí,39,,7.49
P0056,Ingeniería de Sistemas,3,18.59,19.21,24,85.0,No,No,1.0,2.0,2.0,21,3142,No,2019,Sí,52,,11.81
P0057,Ingeniería de Sistemas,2,17.6,17.48,11,88.0,No,No,1.0,4.0,3.0,20,3850,No,2020,Sí,40,,12.64
P0058,Ingeniería de Software,10,14.39,18.75,136,100.0,No,Sí,1.0,2.0,2.0,22,3090,No,2020,Sí,48,,10.95
P0059,Ciencia de la Computación,5,10.1,12.06,39,87.0,No,Sí,2.0,1.0,1.0,21,3528,No,2019,No,44,Problemas económicos,4.6
P0060,Ingeniería de Software,8,18.66,17.31,87,80.0,No,No,2.0,1.0,3.0,21,2209,No,2019,Sí,64,,14.9
P0061,Ingeniería de Software,2,19.57,19.73,11,90.0,No,No,1.0,3.0,0.0,23,1511,No,2021,Sí,36,,11.12
P0062,Ingeniería de Software,4,14.43,15.65,36,88.0,No,Sí,1.0,2.0,1.0,20,3785,No,2020,Sí,71,,9.45
P0063,Ingeniería de Software,7,10.35,17.89,103,100.0,Sí,Sí,6.0,2.0,2.0,21,2457,No,2019,Sí,34,,9.31
P0064,Ingeniería de Software,7,13.24,19.88,109,100.0,No,Sí,4.0,6.0,1.0,20,5455,No,2019,Sí,74,,7.18
P0065,Ciencia de la Computación,5,18.0,18.96,49,90.0,No,No,3.0,2.0,1.0,22,1185,No,2017,Sí,21,,12.45
P0066,Ingeniería de Sistemas,3,18.03,16.25,23,75.0,No,No,2.0,2.0,1.0,21,2253,No,2019,Sí,46,,13.11
P0067,Ingeniería de Software,4,9.33,13.97,43,80.0,Sí,Sí,1.0,7.0,1.0,21,4325,No,2021,Sí,37,,9.17
P0068,Ingeniería de Sistemas,4,11.78,17.07,59,79.0,No,Sí,4.0,7.0,3.0,21,7993,No,2020,Sí,92,,7.33
P0069,Ingeniería de Sistemas,2,19.08,19.68,11,100.0,No,Sí,2.0,1.0,2.0,21,3102,No,2019,No,53,Exceso de carga laboral,10.11
P0070,Ingeniería de Software,5,7.87,13.07,64,67.0,Sí,Sí,3.0,8.0,2.0,21,9854,No,2021,No,97,Salud u otros,5.93
P0071,Ingeniería de Sistemas,4,13.68,16.06,36,80.0,No,Sí,2.0,2.0,4.0,20,1703,No,2020,Sí,21,,9.85
P0072,Ciencia de la Computación,3,20.0,19.3,25,75.0,No,No,3.0,1.0,2.0,22,6032,No,2020,Sí,79,,14.26
P0073,Ingeniería de Software,2,18.63,19.17,11,99.0,No,Sí,5.0,2.0,1.0,20,967,No,2020,Sí,20,,10.49
P0074,Ingeniería de Software,6,9.41,14.14,80,56.0,No,Sí,2.0,2.0,2.0,20,4515,No,2020,Sí,43,,5.91
P0075,Ingeniería de Sistemas,6,7.45,12.17,77,62.0,Sí,Sí,3.0,3.0,1.0,20,6868,No,2021,No,59,Falta de motivación,4.37
P0076,Ingeniería de Software,10,13.22,16.0,126,85.0,No,Sí,3.0,1.0,2.0,23,2839,No,2017,No,57,Bajo rendimiento,9.44
P0077,Ingeniería de Software,9,19.04,17.44,105,95.0,No,No,2.0,5.0,1.0,21,2771,No,2018,No,34,Exceso de carga laboral,15.0
P0078,Ingeniería de Sistemas,10,11.82,17.72,116,100.0,No,Sí,3.0,2.0,2.0,24,4509,No,2019,Sí,68,,10.59
P0079,Ingeniería de Sistemas,1,1.9,0.74,0,100.0,Sí,Sí,2.0,7.0,1.0,20,889,No,2020,Sí,0,,3.85
P0080,Ingeniería de Software,4,13.31,16.12,36,95.0,No,No,5.0,1.0,2.0,22,2314,No,2019,Sí,33,,11.98
P0081,Ingeniería de Sistemas,7,19.86,19.01,76,99.0,No,No,5.0,6.0,2.0,23,600,No,2019,Sí,15,,16.19
P0082,Ingeniería de Software,8,10.69,16.79,103,100.0,No,Sí,5.0,12.0,2.0,25,4722,No,2018,Sí,65,,8.33
P0083,Ingeniería de Software,5,9.75,16.32,87,88.0,No,Sí,3.0,8.0,3.0,20,4180,No,2021,Sí,49,,9.85
P0084,Ingeniería de Sistemas,2,13.19,15.68,11,95.0,No,Sí,5.0,3.0,1.0,20,902,No,2020,No,29,Falta de motivación,10.97
P0085,Ciencia de la Computación,1,0.19,0.0,0,100.0,No,Sí,6.0,4.0,3.0,21,2463,No,2020,Sí,2,,4.02
P0086,Ciencia de la Computación,4,16.1,17.75,25,100.0,No,No,4.0,4.0,2.0,20,3423,No,2020,Sí,52,,11.89
P0087,Ingeniería de Sistemas,9,12.64,17.91,123,87.0,No,Sí,1.0,3.0,4.0,20,4428,No,2021,Sí,60,,10.52
P0088,Ingeniería de Sistemas,10,7.65,13.49,133,70.0,Sí,Sí,3.0,3.0,3.0,21,5242,No,2018,Sí,45,,3.31
P0089,Ingeniería de Sistemas,8,13.35,19.09,135,68.0,No,Sí,5.0,3.0,2.0,20,2670,No,2020,Sí,44,,6.7
P0090,Ingeniería de Sistemas,2,13.66,17.08,11,75.0,No,Sí,1.0,4.0,1.0,20,2292,No,2020,Sí,35,,9.42
P0091,Ingeniería de Software,2,18.6,15.66,90,100.0,No,Sí,3.0,2.0,2.0,21,2240,No,2020,No,45,Bajo rendimiento,9.06
P0092,Ciencia de la Computación,9,13.8,18.45,136,68.0,No,Sí,1.0,3.0,2.0,25,3417,No,2019,Sí,55,,6.88
P0093,Ingeniería de Sistemas,3,16.0,15.11,24,90.0,No,Sí,2.0,12.0,0.0,20,2453,No,2020,Sí,44,,8.72
P0094,Ingeniería de Software,5,7.51,13.69,71,100.0,No,Sí,3.0,3.0,3.0,20,4469,No,2021,Sí,44,,7.12
P0095,Ingeniería de Software,6,10.37,14.7,74,100.0,Sí,Sí,3.0,2.0,2.0,21,4889,No,2021,Sí,59,,9.03
P0096,Ingeniería de Software,8,14.1,16.24,88,100.0,No,Sí,1.0,15.0,1.0,22,5427,No,2019,Sí,72,,9.38
P0097,Ingeniería de Sistemas,5,8.13,12.71,68,54.0,Sí,Sí,2.0,2.0,2.0,21,5621,No,2021,No,54,Salud u otros,7.46
P0098,Ingeniería de Sistemas,1,17.24,17.59,14,90.0,No,No,4.0,2.0,1.0,19,1415,No,2020,Sí,28,,13.34
P0099,Ingeniería de Sistemas,3,14.97,14.44,23,100.0,No,No,3.0,1.0,1.0,21,4022,No,2020,Sí,66,,14.36
P0100,Ingeniería de Sistemas,1,0.0,0.3,0,100.0,No,Sí,1.0,3.0,2.0,19,985,No,2020,Sí,8,,3.98
P0101,Ingeniería de Software,2,20.0,19.52,11,90.0,No,No,3.0,3.0,2.0,20,2610,No,2020,Sí,37,,16.11
P0102,Ingeniería de Software,2,18.18,18.77,11,98.0,No,Sí,4.0,3.0,3.0,20,3586,No,2020,Sí,76,,9.68
P0103,Ingeniería de Sistemas,9,8.61,12.46,143,100.0,Sí,Sí,3.0,2.0,1.0,25,8707,No,2018,Sí,80,,8.26
P0104,Ingeniería de Sistemas,6,12.19,16.01,63,70.0,No,Sí,5.0,7.0,3.0,22,2905,No,2020,Sí,46,,6.81
P0105,Ingeniería de Sistemas,9,11.99,17.54,103,67.0,No,Sí,1.0,2.0,2.0,20,3651,No,2020,Sí,50,,7.11
P0106,Ingeniería de Software,2,14.33,14.83,11,85.0,No,No,4.0,3.0,2.0,20,1888,No,2020,No,42,Falta de motivación,12.16
P0107,Ciencia de la Computación,2,13.52,16.79,11,99.0,No,Sí,5.0,2.0,2.0,20,10000,No,2020,Sí,92,,6.12
P0108,Ingeniería de Software,4,13.45,16.12,36,90.0,No,Sí,3.0,2.0,3.0,20,1240,No,2020,Sí,37,,9.39
P0109,Ciencia de la Computación,8,13.54,10.6,62,80.0,No,Sí,3.0,5.0,1.0,21,3560,No,2019,Sí,52,,10.59
P0110,Ingeniería de Sistemas,9,6.51,12.65,143,100.0,Sí,Sí,3.0,1.0,1.0,23,3328,No,2019,Sí,35,,2.82
P0111,Ingeniería de Sistemas,9,17.19,11.35,90,50.0,No,No,5.0,10.0,2.0,20,3362,No,2019,No,46,Problemas económicos,13.37
P0112,Ingeniería de Sistemas,3,15.2,19.51,51,100.0,No,No,4.0,3.0,2.0,22,3566,No,2022,Sí,48,,11.07
P0113,Ingeniería de Sistemas,2,17.19,17.69,11,88.0,No,No,5.0,1.0,2.0,20,1814,No,2020,Sí,45,,11.81
P0114,Ciencia de la Computación,8,16.43,16.95,84,95.0,No,No,3.0,2.0,2.0,22,2948,No,2019,Sí,47,,12.44
P0115,Ingeniería de Sistemas,9,13.33,16.77,126,90.0,No,Sí,2.0,3.0,3.0,25,4031,No,2014,No,65,Bajo rendimiento,10.08
P0116,Ingeniería de Software,7,10.78,16.12,32,90.0,No,Sí,2.0,3.0,1.0,23,3917,No,2019,Sí,47,,3.64
P0117,Ingeniería de Software,8,10.7,15.63,119,86.0,No,Sí,3.0,9.0,2.0,20,2629,No,2020,Sí,52,,7.76
P0118,Ingeniería de Software,1,18.35,18.9,11,100.0,No,No,2.0,1.0,1.0,21,3586,No,2020,Sí,55,,14.58
P0119,Ingeniería de Sistemas,2,19.36,20.0,12,95.0,No,No,1.0,2.0,1.0,20,2236,No,2020,Sí,34,,16.45
P0120,Ciencia de la Computación,1,0.17,0.52,0,95.0,No,Sí,2.0,2.0,2.0,22,4251,No,2019,Sí,51,,0.0
P0121,Ciencia de la Computación,2,16.55,18.39,11,88.0,No,Sí,1.0,4.0,3.0,20,3763,No,2020,Sí,60,,10.835214462101263
P0122,Ingeniería de Sistemas,4,13.37,16.47,36,97.0,No,Sí,5.0,2.0,2.0,21,3178,No,2020,Sí,71,,5.82
P0123,Ingeniería de Sistemas,6,14.24,17.85,56,100.0,No,Sí,2.0,1.0,1.0,22,4207,No,2018,Sí,73,,7.74
P0124,Ingeniería de Software,9,15.85,20.0,140,100.0,No,Sí,1.0,8.0,2.0,24,1978,No,2018,Sí,40,,9.15
P0125,Ciencia de la Computación,2,14.6,13.27,12,90.0,No,Sí,2.0,6.0,0.0,20,2299,No,2020,No,49,Exceso de carga laboral,8.44
P0126,Ciencia de la Computación,8,16.81,15.62,118,99.0,No,Sí,5.0,3.0,2.0,22,2101,No,2017,Sí,46,,10.4
P0127,Ingeniería de Sistemas,8,12.88,13.85,115,99.0,No,Sí,5.0,5.0,2.0,24,3226,No,2014,Sí,41,,10.57
P0128,Ingeniería de Software,8,14.15,19.92,143,100.0,No,Sí,6.0,2.0,1.0,24,5517,No,2019,Sí,84,,10.17
P0129,Ciencia de la Computación,8,9.32,11.77,87,90.0,No,Sí,5.0,3.0,2.0,21,2586,No,2019,Sí,31,,10.27
P0130,Ingeniería de Sistemas,8,18.03,17.0,90,98.0,No,No,5.0,4.0,3.0,23,1705,No,2019,No,14,Problemas económicos,12.45
P0131,Ingeniería de Software,7,11.34,16.43,66,70.0,No,Sí,1.0,5.0,5.0,23,2828,No,2019,Sí,37,,4.84
P0132,Ingeniería de Sistemas,3,13.69,14.46,23,70.0,No,Sí,3.0,3.0,5.0,21,1197,No,2020,Sí,16,,8.16
P0133,Ingeniería de Software,8,18.64,19.19,90,90.0,No,No,3.0,3.0,2.0,23,4030,No,2019,Sí,56,,13.04
P0134,Ciencia de la Computación,2,17.77,19.05,11,98.0,No,No,2.0,4.0,2.0,20,2167,No,2020,Sí,48,,14.24
P0135,Ciencia de la Computación,8,13.12,16.28,88,95.0,No,Sí,1.0,2.0,2.0,21,2247,No,2019,Sí,50,,6.93
P0136,Ingeniería de Sistemas,3,6.8,14.35,34,30.0,No,Sí,3.0,10.0,1.0,21,4129,No,2020,Sí,27,,5.07
P0137,Ingeniería de Sistemas,6,17.2,16.51,70,99.0,No,No,3.0,3.0,2.0,22,2087,No,2018,Sí,28,,13.92
P0138,Ingeniería de Sistemas,8,19.43,14.98,73,100.0,No,Sí,6.0,3.0,2.0,23,1868,No,2018,No,40,Problemas económicos,10.06
P0139,Ingeniería de Software,3,18.35,19.04,25,99.0,No,No,4.0,1.0,2.0,21,2304,No,2019,No,39,Bajo rendimiento,11.58
P0140,Ingeniería de Software,8,11.92,16.98,128,95.0,No,Sí,2.0,3.0,1.0,22,909,No,2019,Sí,36,,8.26
P0141,Ingeniería de Sistemas,8,17.53,17.25,90,98.0,No,No,5.0,4.0,3.0,23,1398,No,2019,Sí,37,,13.63
P0142,Ingeniería de Sistemas,2,16.49,17.02,11,90.0,No,Sí,4.0,1.0,1.0,19,2270,No,2020,No,35,Falta de motivación,8.55
P0143,Ciencia de la Computación,1,0.18,0.0,0,100.0,Sí,Sí,4.0,3.0,1.0,19,2502,No,2021,No,16,Falta de motivación,3.47
P0144,Ingeniería de Software,8,19.67,18.29,90,99.0,No,No,3.0,2.0,1.0,20,2851,No,2019,Sí,51,,11.38
P0145,Ingeniería de Software,7,11.55,12.87,65,80.0,No,Sí,2.0,1.0,1.0,20,2060,No,2019,Sí,34,,7.49
P0146,Ingeniería de Software,5,13.68,18.13,58,100.0,No,Sí,3.0,3.0,4.0,20,3896,No,2021,Sí,67,,10.81
P0147,Ingeniería de Software,8,18.35,16.76,124,90.0,No,Sí,1.0,1.0,4.0,25,3084,No,2017,Sí,52,,9.14
P0148,Ingeniería de Sistemas,8,16.92,19.45,87,96.0,No,No,3.0,1.0,2.0,21,1245,No,2018,No,20,Bajo rendimiento,12.35
P0149,Ingeniería de Software,3,16.85,18.07,23,90.0,No,No,2.0,3.0,1.0,21,3089,No,2020,No,67,Salud u otros,12.52
P0150,Ciencia de la Computación,7,18.1,18.0,89,95.0,No,Sí,3.0,2.0,1.0,21,3244,No,2019,Sí,48,,10.17
P0151,Ingeniería de Sistemas,5,14.59,19.7,61,100.0,No,Sí,3.0,3.0,4.0,20,3906,No,2021,Sí,70,,10.7
P0152,Ingeniería de Software,1,16.11,16.78,11,98.0,No,Sí,3.0,8.0,1.0,21,5914,No,2020,Sí,82,,10.35
P0153,Ingeniería de Sistemas,4,10.25,17.79,46,70.0,No,Sí,3.0,9.0,3.0,19,5165,No,2020,Sí,73,,10.95
P0154,Ingeniería de Sistemas,9,7.27,11.66,130,56.0,Sí,Sí,2.0,3.0,4.0,20,5789,No,2020,Sí,47,,1.34
P0155,Ingeniería de Software,1,19.48,19.14,12,100.0,No,No,3.0,3.0,2.0,22,3323,No,2017,Sí,50,,11.53
P0156,Ingeniería de Sistemas,2,14.79,19.88,28,100.0,No,Sí,5.0,5.0,3.0,21,1461,No,2022,Sí,26,,10.49
P0157,Ingeniería de Software,2,19.42,18.06,11,50.343883400021504,No,No,3.0,5.0,2.0,21,2120,No,2021,Sí,47,,13.33
P0158,Ciencia de la Computación,7,12.75,19.44,100,100.0,No,No,3.0,5.0,2.0,19,4439,No,2021,Sí,68,,11.55
P0159,Ingeniería de Software,6,13.17,16.4,50,80.0,No,Sí,1.0,3.0,1.0,22,2107,No,2018,Sí,33,,7.41
P0160,Ingeniería de Sistemas,8,17.08,16.46,88,85.0,No,No,1.0,3.0,1.0,21,3117,No,2019,Sí,37,,13.28
P0161,Ingeniería de Sistemas,8,18.11,17.63,88,100.0,No,No,13.0,1.0,2.0,21,600,No,2019,Sí,37,,15.74
P0162,Ingeniería de Software,5,9.71,13.58,71,78.0,Sí,Sí,2.0,5.0,2.0,21,5101,No,2021,No,33,Problemas económicos,8.55
P0163,Ingeniería de Software,7,17.04,15.99,80,97.0,No,Sí,3.0,4.0,3.0,22,3147,No,2019,Sí,48,,10.67
P0164,Ingeniería de Sistemas,10,6.43,11.67,137,57.0,Sí,Sí,1.0,9.0,1.0,21,3092,No,2018,Sí,26,,5.22
P0165,Ingeniería de Software,2,14.0,15.63,14,80.0,No,No,4.0,1.0,1.0,21,1114,No,2020,No,23,Bajo rendimiento,12.84
P0166,Ciencia de la Computación,8,11.72,17.39,90,70.0,No,Sí,1.0,4.0,3.0,24,1952,No,2017,Sí,43,,6.71
P0167,Ingeniería de Sistemas,10,11.92,16.38,137,100.0,No,Sí,3.0,7.0,1.0,20,7100,No,2019,Sí,85,,10.6
P0168,Ciencia de la Computación,6,10.9,16.44,84,100.0,No,Sí,4.0,8.0,2.0,20,3664,No,2020,Sí,50,,8.61
P0169,Ingeniería de Software,4,9.03,12.54,24,80.0,No,Sí,4.0,2.0,1.0,22,1614,No,2021,Sí,38,,7.06
P0170,Ingeniería de Software,2,19.03,17.92,14,90.0,No,No,5.0,3.0,1.0,20,600,No,2020,Sí,30,,11.01
P0171,Ingeniería de Software,9,6.93,13.18,130,56.0,No,Sí,2.0,3.0,4.0,20,5517,No,2020,Sí,54,,5.33
P0172,Ingeniería de Sistemas,7,17.02,19.08,75,98.0,No,Sí,0.0,2.0,0.0,22,2988,No,2019,Sí,50,,9.43
P0173,Ciencia de la Computación,2,14.77,16.38,12,100.0,No,No,3.0,3.0,1.0,20,5252,No,2020,Sí,79,,12.61
P0174,Ciencia de la Computación,8,18.36,18.25,78,100.0,No,No,3.0,3.0,2.0,22,1878,No,2018,No,36,Problemas económicos,13.18
P0175,Ciencia de la Computación,10,11.98,15.85,137,100.0,No,No,3.0,7.0,1.0,20,7118,No,2019,Sí,92,,12.47
P0176,Ingeniería de Sistemas,2,15.2,19.89,30,100.0,No,Sí,4.0,3.0,2.0,19,6012,No,2021,Sí,99,,8.41
P0177,Ingeniería de Sistemas,9,13.89,20.0,116,87.0,No,Sí,3.0,3.0,2.0,23,2369,No,2019,No,48,Salud u otros,10.5
P0178,Ingeniería de Sistemas,9,15.02,18.55,124,100.0,No,No,2.0,3.0,4.0,21,4796,No,2020,Sí,74,,11.93
P0179,Ingeniería de Sistemas,6,11.03,15.45,60,100.0,No,Sí,3.0,1.0,2.0,22,1043,No,2019,Sí,26,,9.75
P0180,Ingeniería de Sistemas,2,18.84,18.68,12,85.0,No,No,1.0,4.0,0.0,21,3045,No,2020,Sí,52,,12.66
P0181,Ingeniería de Software,8,19.91,18.51,85,85.0,No,No,1.0,1.0,1.0,21,1321,No,2019,Sí,30,,12.51
P0182,Ingeniería de Sistemas,5,11.82,17.54,72,90.0,No,Sí,5.0,9.0,1.0,20,4171,No,2020,Sí,58,,8.2
P0183,Ingeniería de Sistemas,1,16.9,15.67,11,95.0,No,No,5.0,2.0,2.0,21,3512,No,2020,Sí,61,,13.15
P0184,Ciencia de la Computación,2,15.82,15.62,11,98.0,No,No,4.0,2.0,2.0,22,1298,No,2020,Sí,38,,12.62
P0185,Ingeniería de Software,9,10.86,17.42,60,90.0,No,Sí,5.0,6.0,2.0,24,1780,No,2019,Sí,31,,6.54
P0186,Ciencia de la Computación,6,12.05,16.43,65,90.0,No,No,2.0,5.0,2.0,20,2093,No,2019,Sí,37,,11.7
P0187,Ingeniería de Sistemas,7,12.29,12.33,70,40.0,No,Sí,3.0,4.0,2.0,23,3762,No,2018,Sí,41,,7.35
P0188,Ingeniería de Software,2,18.79,0.61,11,90.0,No,No,5.0,6.0,5.0,20,3075,No,2020,Sí,39,,11.29
P0189,Ciencia de la Computación,4,8.35,12.84,23,90.0,Sí,Sí,4.0,2.0,1.0,22,1372,No,2020,No,2,Bajo rendimiento,10.83
P0190,Ingeniería de Software,8,20.0,20.0,87,98.0,No,No,5.0,2.0,3.0,22,1840,No,2018,No,40,Problemas económicos,12.56
P0191,Ingeniería de Sistemas,9,13.73,19.21,100,100.0,No,Sí,2.0,2.0,4.0,22,4957,No,2020,Sí,64,,8.16
